
2023/10/23 (11:41:02) | ===> btop++ v.1.2.13
2023/10/23 (11:41:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/04 (00:17:32) | ===> btop++ v.1.2.13
2023/11/04 (00:17:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/03 (19:56:08) | ===> btop++ v.1.2.13
2023/12/03 (19:56:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/09 (22:40:52) | ===> btop++ v.1.2.13
2023/12/09 (22:40:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/15 (20:23:02) | ===> btop++ v.1.3.2
2024/03/15 (20:23:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/24 (15:13:35) | ===> btop++ v.1.3.2
2024/04/24 (15:13:35) | WARNING: Failed to set locale UTF-8 continuing anyway.
